Tue Jun 27 16:03:11 2023    profiling/output.dat

         8523774 function calls (8519569 primitive calls) in 14.574 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
6409688/6408748    0.360    0.000    0.361    0.000 {built-in method builtins.len}
   821772    0.579    0.000    0.579    0.000 D:\Programmation\Pycharm\Python\Tank-Game\physics.py:75(check_collision_lines)
   809830    0.983    0.000    1.832    0.000 D:\Programmation\Pycharm\Python\Tank-Game\physics.py:52(check_collisions_polygons)
    50583    0.024    0.000    0.024    0.000 D:\Programmation\Pycharm\Python\Tank-Game\physics.py:257(get_rectangle_vertices)
    50583    0.407    0.000    2.311    0.000 D:\Programmation\Pycharm\Python\Tank-Game\physics.py:28(check_collisions_polygon_rectangle)
    39409    0.119    0.000    0.119    0.000 {built-in method pygame.draw.rect}
    25619    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
    24911    1.677    0.000    1.677    0.000 {method 'blit' of 'pygame.Surface' objects}
    22930    0.002    0.000    0.002    0.000 {built-in method math.radians}
    14186    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
    13720    0.004    0.000    0.126    0.000 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:438(draw_label)
    13385    0.003    0.000    0.003    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:233(__next)
    12016    0.003    0.000    0.006    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:254(get)
    11655    0.008    0.000    0.084    0.000 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:409(draw_button)
    11655    0.004    0.000    0.004    0.000 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:422(check_hovered)
    11465    0.002    0.000    0.002    0.000 {built-in method math.cos}
    11465    0.002    0.000    0.002    0.000 {built-in method math.sin}
     8558    0.003    0.000    0.003    0.000 {method 'get_rect' of 'pygame.Surface' objects}
     7026    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     6299    0.146    0.000    0.146    0.000 {built-in method pygame.transform.rotate}
     5489    0.001    0.000    0.002    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:164(__getitem__)
     5478    0.067    0.000    0.067    0.000 {built-in method pygame.transform.scale}
     3599    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
     3553    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
     3361    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
     3229    1.159    0.000    1.159    0.000 {method 'fill' of 'pygame.Surface' objects}
     3080    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     2858    0.001    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:249(match)
     2529    1.128    0.000    1.128    0.000 {built-in method pygame.event.get}
     2529    2.740    0.001    2.740    0.001 {built-in method pygame.display.flip}
     2516    0.013    0.000    0.019    0.000 D:\Programmation\Pycharm\Python\Tank-Game\tank.py:144(get_bounds)
     2316    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
     2294    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
     2069    0.000    0.000    0.000    0.000 {built-in method time.time}
     2068    0.002    0.000    0.003    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\ntpath.py:124(splitdrive)
     2065    0.003    0.000    5.254    0.003 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:19(menu_loop)
     2065    0.001    0.000    0.001    0.000 {built-in method pygame.mouse.get_pos}
     1908    0.000    0.000    0.000    0.000 {built-in method builtins.min}
     1854    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:160(__len__)
     1814    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
1793/1789    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     1761    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1697    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
     1482    0.001    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:187(_parse_version_parts)
     1423    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
     1410    0.274    0.000    0.274    0.000 {method 'render' of 'pygame.font.Font' objects}
