Tue Jun 27 16:03:11 2023    profiling/output.dat

         8523774 function calls (8519569 primitive calls) in 14.574 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     64/1    0.000    0.000   14.574   14.574 {built-in method builtins.exec}
        1    0.000    0.000   14.574   14.574 D:\Programmation\Pycharm\Python\Tank-Game\main.py:18(main)
        1    0.006    0.006   13.949   13.949 D:\Programmation\Pycharm\Python\Tank-Game\game.py:64(game_loop)
     2065    0.003    0.000    5.254    0.003 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:19(menu_loop)
      464    3.869    0.008    3.869    0.008 {method 'tick' of 'Clock' objects}
     1365    0.014    0.000    3.811    0.003 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:30(draw_menu)
     2529    2.740    0.001    2.740    0.001 {built-in method pygame.display.flip}
      931    0.028    0.000    2.365    0.003 D:\Programmation\Pycharm\Python\Tank-Game\game.py:373(check_collision_obstacles)
    50583    0.407    0.000    2.311    0.000 D:\Programmation\Pycharm\Python\Tank-Game\physics.py:28(check_collisions_polygon_rectangle)
      464    0.002    0.000    2.234    0.005 D:\Programmation\Pycharm\Python\Tank-Game\game.py:309(tick)
      783    0.004    0.000    2.190    0.003 D:\Programmation\Pycharm\Python\Tank-Game\tank.py:110(move)
   809830    0.983    0.000    1.832    0.000 D:\Programmation\Pycharm\Python\Tank-Game\physics.py:52(check_collisions_polygons)
    24911    1.677    0.000    1.677    0.000 {method 'blit' of 'pygame.Surface' objects}
      700    0.003    0.000    1.386    0.002 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:212(draw_menu)
      464    0.033    0.000    1.291    0.003 D:\Programmation\Pycharm\Python\Tank-Game\game.py:403(draw)
     3229    1.159    0.000    1.159    0.000 {method 'fill' of 'pygame.Surface' objects}
     2529    1.128    0.000    1.128    0.000 {built-in method pygame.event.get}
   821772    0.579    0.000    0.579    0.000 D:\Programmation\Pycharm\Python\Tank-Game\physics.py:75(check_collision_lines)
      464    0.250    0.001    0.521    0.001 D:\Programmation\Pycharm\Python\Tank-Game\game.py:436(draw_score)
        1    0.426    0.426    0.428    0.428 {built-in method pygame.base.init}
6409688/6408748    0.360    0.000    0.361    0.000 {built-in method builtins.len}
     1410    0.274    0.000    0.274    0.000 {method 'render' of 'pygame.font.Font' objects}
        1    0.000    0.000    0.197    0.197 D:\Programmation\Pycharm\Python\Tank-Game\game.py:14(__init__)
      464    0.001    0.000    0.186    0.000 D:\Programmation\Pycharm\Python\Tank-Game\game.py:304(check_input)
      782    0.003    0.000    0.185    0.000 D:\Programmation\Pycharm\Python\Tank-Game\tank.py:20(check_input)
        1    0.030    0.030    0.183    0.183 {built-in method pygame.display.set_mode}
     87/2    0.000    0.000    0.155    0.077 <frozen importlib._bootstrap>:1002(_find_and_load)
     87/2    0.000    0.000    0.155    0.077 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
     81/2    0.000    0.000    0.154    0.077 <frozen importlib._bootstrap>:659(_load_unlocked)
     63/2    0.000    0.000    0.154    0.077 <frozen importlib._bootstrap_external>:784(exec_module)
    104/2    0.000    0.000    0.153    0.077 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        1    0.000    0.000    0.152    0.152 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pygame\pkgdata.py:1(<module>)
        1    0.000    0.000    0.150    0.150 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:1(<module>)
     6299    0.146    0.000    0.146    0.000 {built-in method pygame.transform.rotate}
    13720    0.004    0.000    0.126    0.000 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:438(draw_label)
    39409    0.119    0.000    0.119    0.000 {built-in method pygame.draw.rect}
    11655    0.008    0.000    0.084    0.000 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:409(draw_button)
     5478    0.067    0.000    0.067    0.000 {built-in method pygame.transform.scale}
    18/11    0.000    0.000    0.064    0.006 {built-in method builtins.__import__}
      782    0.002    0.000    0.051    0.000 D:\Programmation\Pycharm\Python\Tank-Game\tank.py:134(draw)
        2    0.000    0.000    0.041    0.020 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:3225(_call_aside)
        1    0.000    0.000    0.041    0.041 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:3242(_initialize_master_working_set)
      767    0.040    0.000    0.040    0.000 {built-in method nt.stat}
      464    0.001    0.000    0.037    0.000 D:\Programmation\Pycharm\Python\Tank-Game\game.py:333(move_bullets)
    81/70    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      129    0.000    0.000    0.032    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\re.py:289(_compile)
       81    0.000    0.000    0.032    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\re.py:250(compile)
       77    0.000    0.000    0.031    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:759(compile)
        1    0.000    0.000    0.031    0.031 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\requirements.py:4(<module>)
      255    0.002    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1438(find_spec)
     1365    0.007    0.000    0.031    0.000 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:108(check_input)
      570    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
       16    0.000    0.000    0.027    0.002 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:596(add_entry)
       62    0.000    0.000    0.027    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2032(find_on_path)
        3    0.000    0.000    0.026    0.009 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\extern\__init__.py:51(create_module)
        3    0.000    0.000    0.026    0.009 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\extern\__init__.py:29(load_module)
       63    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:856(get_code)
    50583    0.024    0.000    0.024    0.000 D:\Programmation\Pycharm\Python\Tank-Game\physics.py:257(get_rectangle_vertices)
  281/278    0.003    0.000    0.024    0.000 {built-in method builtins.__build_class__}
       86    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      700    0.003    0.000    0.024    0.000 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:262(check_input)
       78    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1341(find_spec)
       78    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1309(_get_spec)
        1    0.000    0.000    0.022    0.022 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\email\parser.py:5(<module>)
        1    0.000    0.000    0.021    0.021 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\email\feedparser.py:5(<module>)
       77    0.000    0.000    0.021    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:937(parse)
   339/77    0.001    0.000    0.020    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:435(_parse_sub)
      846    0.001    0.000    0.020    0.000 D:\Programmation\Pycharm\Python\Tank-Game\game.py:396(check_collisions_tanks)
   492/81    0.007    0.000    0.020    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:493(_parse)
        1    0.000    0.000    0.020    0.020 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\email\_policybase.py:1(<module>)
     2516    0.013    0.000    0.019    0.000 D:\Programmation\Pycharm\Python\Tank-Game\tank.py:144(get_bounds)
       18    0.005    0.000    0.017    0.001 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:428(__init__)
        1    0.000    0.000    0.017    0.017 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:26(<module>)
       63    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:976(get_data)
    17/12    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.000    0.000    0.014    0.014 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:554(_build_master)
        1    0.000    0.000    0.014    0.014 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:541(__init__)
