Tue Jun 27 16:03:11 2023    profiling/output.dat

         8523774 function calls (8519569 primitive calls) in 14.574 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      464    3.869    0.008    3.869    0.008 {method 'tick' of 'Clock' objects}
     2529    2.740    0.001    2.740    0.001 {built-in method pygame.display.flip}
    24911    1.677    0.000    1.677    0.000 {method 'blit' of 'pygame.Surface' objects}
     3229    1.159    0.000    1.159    0.000 {method 'fill' of 'pygame.Surface' objects}
     2529    1.128    0.000    1.128    0.000 {built-in method pygame.event.get}
   809830    0.983    0.000    1.832    0.000 D:\Programmation\Pycharm\Python\Tank-Game\physics.py:52(check_collisions_polygons)
   821772    0.579    0.000    0.579    0.000 D:\Programmation\Pycharm\Python\Tank-Game\physics.py:75(check_collision_lines)
        1    0.426    0.426    0.428    0.428 {built-in method pygame.base.init}
    50583    0.407    0.000    2.311    0.000 D:\Programmation\Pycharm\Python\Tank-Game\physics.py:28(check_collisions_polygon_rectangle)
6409688/6408748    0.360    0.000    0.361    0.000 {built-in method builtins.len}
     1410    0.274    0.000    0.274    0.000 {method 'render' of 'pygame.font.Font' objects}
      464    0.250    0.001    0.521    0.001 D:\Programmation\Pycharm\Python\Tank-Game\game.py:436(draw_score)
     6299    0.146    0.000    0.146    0.000 {built-in method pygame.transform.rotate}
    39409    0.119    0.000    0.119    0.000 {built-in method pygame.draw.rect}
     5478    0.067    0.000    0.067    0.000 {built-in method pygame.transform.scale}
      767    0.040    0.000    0.040    0.000 {built-in method nt.stat}
      464    0.033    0.000    1.291    0.003 D:\Programmation\Pycharm\Python\Tank-Game\game.py:403(draw)
        1    0.030    0.030    0.183    0.183 {built-in method pygame.display.set_mode}
      931    0.028    0.000    2.365    0.003 D:\Programmation\Pycharm\Python\Tank-Game\game.py:373(check_collision_obstacles)
    50583    0.024    0.000    0.024    0.000 D:\Programmation\Pycharm\Python\Tank-Game\physics.py:257(get_rectangle_vertices)
     1365    0.014    0.000    3.811    0.003 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:30(draw_menu)
     2516    0.013    0.000    0.019    0.000 D:\Programmation\Pycharm\Python\Tank-Game\tank.py:144(get_bounds)
       63    0.011    0.000    0.011    0.000 {built-in method io.open_code}
    11655    0.008    0.000    0.084    0.000 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:409(draw_button)
     1164    0.008    0.000    0.008    0.000 {built-in method pygame.key.get_pressed}
     1365    0.007    0.000    0.031    0.000 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:108(check_input)
   492/81    0.007    0.000    0.020    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:493(_parse)
        1    0.006    0.006   13.949   13.949 D:\Programmation\Pycharm\Python\Tank-Game\game.py:64(game_loop)
       18    0.005    0.000    0.017    0.001 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:428(__init__)
        7    0.005    0.001    0.005    0.001 {built-in method _imp.create_dynamic}
       72    0.005    0.000    0.005    0.000 {built-in method nt.listdir}
       63    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
       24    0.004    0.000    0.004    0.000 {built-in method pygame.image.load}
      783    0.004    0.000    2.190    0.003 D:\Programmation\Pycharm\Python\Tank-Game\tank.py:110(move)
    11655    0.004    0.000    0.004    0.000 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:422(check_hovered)
       65    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
    13720    0.004    0.000    0.126    0.000 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:438(draw_label)
      700    0.003    0.000    1.386    0.002 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:212(draw_menu)
     8558    0.003    0.000    0.003    0.000 {method 'get_rect' of 'pygame.Surface' objects}
    13385    0.003    0.000    0.003    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:233(__next)
   819/77    0.003    0.000    0.009    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:71(_compile)
     2065    0.003    0.000    5.254    0.003 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:19(menu_loop)
    12016    0.003    0.000    0.006    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:254(get)
      700    0.003    0.000    0.024    0.000 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:262(check_input)
      782    0.003    0.000    0.185    0.000 D:\Programmation\Pycharm\Python\Tank-Game\tank.py:20(check_input)
      997    0.003    0.000    0.003    0.000 {built-in method builtins.round}
  281/278    0.003    0.000    0.024    0.000 {built-in method builtins.__build_class__}
      782    0.002    0.000    0.051    0.000 D:\Programmation\Pycharm\Python\Tank-Game\tank.py:134(draw)
    11465    0.002    0.000    0.002    0.000 {built-in method math.cos}
    25619    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      464    0.002    0.000    2.234    0.005 D:\Programmation\Pycharm\Python\Tank-Game\game.py:309(tick)
     2068    0.002    0.000    0.003    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\ntpath.py:124(splitdrive)
    22930    0.002    0.000    0.002    0.000 {built-in method math.radians}
      340    0.002    0.000    0.003    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:276(_optimize_charset)
    11465    0.002    0.000    0.002    0.000 {built-in method math.sin}
      255    0.002    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1438(find_spec)
      782    0.002    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\tank.py:57(get_inputs)
       20    0.001    0.000    0.001    0.000 {built-in method nt._getfinalpathname}
      933    0.001    0.000    0.004    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\ntpath.py:77(join)
     5489    0.001    0.000    0.002    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:164(__getitem__)
    14186    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
  950/233    0.001    0.000    0.002    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:174(getwidth)
